epoch,loss,acc,lr
1,1.2938954395829865,0.0126895517378553,0.0001
2,1.1573571647116574,0.0943675689212285,0.0001
3,1.098915752505038,0.3416467023120369,0.0001
4,1.0610982995886225,0.3194483701208533,0.0001
5,1.0362868200855422,0.3237028887314484,0.0001
6,1.0140876285810712,0.3510196917582799,0.0001
7,0.986010181364786,0.3731885033995697,0.0001
8,0.9699308285227412,0.3723074000820223,0.0001
9,0.9514381274355412,0.4114212389209739,0.0001
10,0.9340948831265292,0.415018662203704,0.0001
11,0.9157240100728689,0.4074779253468253,0.0001
12,0.9027801501576944,0.4205050713327467,0.0001
13,0.8681500190701531,0.4524859112647795,0.0001
14,0.8577469665641818,0.440466796221195,0.0001
15,0.814731741554243,0.4938370539083205,0.0001
16,0.7980484126091941,0.506535739397309,0.0001
17,0.7773906917925876,0.4780464773464805,0.0001
18,0.76569188069519,0.4882863391453123,0.0001
19,0.7065959655013235,0.5106136126030082,0.0001
20,0.5466116858298388,0.6273872966154357,0.0001
21,0.5420773955440109,0.5963671477056097,0.0001
22,0.5115801815688386,0.6148475952772603,0.0001
23,0.5350303069734564,0.5792152624215179,0.0001
24,0.5141764869935352,0.5878934383333444,0.0001
25,0.4844384275302495,0.612204726261353,0.0001
26,0.4545897961792513,0.6282035747892962,0.0001
27,0.4779632077480645,0.600480301596278,0.0001
28,0.4616402167849961,0.630964891196929,0.0001
29,0.4601835454121331,0.6083768360322285,0.0001
30,0.4395752518800827,0.6318032863196675,0.0001
31,0.4336979316639042,0.6276412771768287,0.0001
32,0.4196831112996241,0.6379622584971093,0.0001
33,0.4174374145094175,0.629019842611426,0.0001
34,0.4420231389939512,0.6052147024454143,0.0001
35,0.408702164930739,0.6336971543606876,0.0001
36,0.4038568082958697,0.6378783829671144,0.0001
37,0.4157041120834056,0.6430717907707347,0.0001
38,0.3964518685542433,0.6471749706085779,0.0001
39,0.4053311828592117,0.6447527366812601,0.0001
40,0.4003202041627911,0.6478254284435969,0.0001
41,0.3966467630587796,0.6476503152255985,0.0001
42,0.365895945279677,0.6777302241863369,0.0001
43,0.408393844046989,0.6324597649479188,0.0001
44,0.4176882935315741,0.6162426550912645,0.0001
45,0.3560946196984597,0.6768758468946668,0.0001
46,0.3785803082849204,0.657904505223022,0.0001
47,0.3472757221090375,0.6830065619183269,0.0001
48,0.3546646221493403,0.6997687653523007,0.0001
49,0.3709419319825666,0.6695301810690639,0.0001
50,0.3469726480167618,0.6841176384628687,0.0001
51,0.3559605698361348,0.6854649928374393,0.0001
52,0.3475861114048137,0.6849125980131581,0.0001
53,0.3562628284949441,0.6592985296044906,0.0001
54,0.36601220733350004,0.6681920030414771,0.0001
55,0.3441712915787916,0.6787425363767139,0.0001
56,0.3434167716109494,0.6893501580389109,0.0001
57,0.3644222518992962,0.6684727637908112,0.0001
58,0.3539261978819103,0.6738188889349483,0.0001
59,0.33832857151972395,0.6609521452012304,0.0001
60,0.34971826769284287,0.6605474666765258,0.0001
61,0.33689181787492967,0.6916218496000639,0.0001
62,0.3361093561647041,0.7007209589191283,0.0001
63,0.34384694348520745,0.6802406028932761,0.0001
64,0.31722931630938944,0.6973171444117766,0.0001
65,0.3187349482739945,0.6886320875455259,0.0001
66,0.33193179493212716,0.6744741470771496,0.0001
67,0.3257705548578737,0.6905152737052678,0.0001
68,0.340940779311898,0.7091082843460461,0.0001
69,0.3255188054333681,0.6864437414888225,0.0001
70,0.31871273294246705,0.7113941831390969,0.0001
71,0.35249344560441714,0.6495717479669557,0.0001
72,0.331441627790388,0.7021398583203453,0.0001
73,0.3342065648713494,0.6920604230047047,0.0001
74,0.3155445311994008,0.6872130029505591,0.0001
75,0.325354199758528,0.6940179210819948,0.0001
76,0.3324631465482165,0.6637713719413639,0.0001
77,0.3165654355614984,0.6912332235692298,0.0001
78,0.334131017729582,0.7008283866858838,0.0001
79,0.32166026024927624,0.7185835050107454,0.0001
80,0.32461288254965043,0.689584437291933,0.0001
81,0.320138011219285,0.686174482749055,0.0001
82,0.34883111179901294,0.6917189273650999,0.0001
83,0.32568708990691836,0.7139197110108142,0.0001
84,0.3124018084751707,0.7060633421165934,0.0001
85,0.33421016158674766,0.6941290686416076,0.0001
86,0.3089347818607251,0.7107178794212287,0.0001
87,0.3253365518193024,0.705418427391164,0.0001
88,0.2985594302115559,0.7194353352353519,0.0001
89,0.30538252213019995,0.6953182601956134,0.0001
90,0.32292837256627854,0.7018775206312221,0.0001
91,0.3286729197146619,0.7018542267596214,0.0001
92,0.32111302314786455,0.686726521061037,0.0001
93,0.31691410740379394,0.7140644456654026,0.0001
94,0.3139339254642493,0.7144818668185474,0.0001
95,0.2990501889457795,0.7115861358119011,0.0001
96,0.30739960534832006,0.708934023188052,0.0001
97,0.3097553536164071,0.6921656652843382,0.0001
98,0.32721376860141943,0.7080299428000291,0.0001
99,0.3178970043804819,0.7101423011200229,0.0001
100,0.2918623860601755,0.7041922560560153,0.0001
101,0.31615315857613374,0.7147505256457646,0.0001
102,0.3068884465972684,0.7241739703993879,0.0001
103,0.30263165297746053,0.7473493922917428,0.0001
104,0.3173401154660904,0.7226186671924776,0.0001
