[2026-04-13 08:43:34,048][Train_Process.py] start training!
[2026-04-13 08:48:51,950][Train_Process.py] Epoch:[1/300]  lr=0.000100  loss=1.26361  dice_e=0.0173 max_dice=0.0000
[2026-04-13 08:54:21,068][Train_Process.py] Epoch:[2/300]  lr=0.000100  loss=1.19974  dice_e=0.0311 max_dice=0.0000
[2026-04-13 08:59:47,749][Train_Process.py] Epoch:[3/300]  lr=0.000100  loss=1.18452  dice_e=0.0331 max_dice=0.0000
[2026-04-13 09:05:18,499][Train_Process.py] Epoch:[4/300]  lr=0.000100  loss=1.16460  dice_e=0.0811 max_dice=0.0000
[2026-04-13 09:10:47,160][Train_Process.py] Epoch:[5/300]  lr=0.000100  loss=1.15269  dice_e=0.1053 max_dice=0.0000
[2026-04-13 09:16:13,306][Train_Process.py] Epoch:[6/300]  lr=0.000100  loss=1.14691  dice_e=0.0765 max_dice=0.0000
[2026-04-13 09:21:20,564][Train_Process.py] Epoch:[7/300]  lr=0.000100  loss=1.13308  dice_e=0.1032 max_dice=0.0000
[2026-04-13 09:26:19,477][Train_Process.py] Epoch:[8/300]  lr=0.000100  loss=1.12238  dice_e=0.1130 max_dice=0.0000
[2026-04-13 09:31:32,525][Train_Process.py] Epoch:[9/300]  lr=0.000100  loss=1.11881  dice_e=0.1099 max_dice=0.0000
[2026-04-13 09:36:37,556][Train_Process.py] Epoch:[10/300]  lr=0.000100  loss=1.10798  dice_e=0.1076 max_dice=0.0000
[2026-04-13 09:41:44,772][Train_Process.py] Epoch:[11/300]  lr=0.000100  loss=1.09790  dice_e=0.1319 max_dice=0.0000
[2026-04-13 09:46:44,570][Train_Process.py] Epoch:[12/300]  lr=0.000100  loss=1.09291  dice_e=0.1416 max_dice=0.0000
[2026-04-13 09:52:04,147][Train_Process.py] Epoch:[13/300]  lr=0.000100  loss=1.08626  dice_e=0.1327 max_dice=0.0000
[2026-04-13 09:57:05,038][Train_Process.py] Epoch:[14/300]  lr=0.000100  loss=1.07733  dice_e=0.1392 max_dice=0.0000
[2026-04-13 10:02:20,947][Train_Process.py] Epoch:[15/300]  lr=0.000100  loss=1.06836  dice_e=0.1577 max_dice=0.0000
[2026-04-13 10:07:24,358][Train_Process.py] Epoch:[16/300]  lr=0.000100  loss=1.06569  dice_e=0.1657 max_dice=0.0000
[2026-04-13 10:12:31,533][Train_Process.py] Epoch:[17/300]  lr=0.000100  loss=1.05287  dice_e=0.1768 max_dice=0.0000
[2026-04-13 10:17:40,422][Train_Process.py] Epoch:[18/300]  lr=0.000100  loss=1.05092  dice_e=0.1836 max_dice=0.0000
[2026-04-13 10:23:15,577][Train_Process.py] Epoch:[19/300]  lr=0.000100  loss=1.03702  dice_e=0.1910 max_dice=0.0000
