[2026-04-15 19:36:45,901][Train_Process.py] start training!
[2026-04-15 19:59:21,898][Train_Process.py] P135_lower_img.nii.gz dice=0.0645
[2026-04-15 19:59:25,613][Train_Process.py] P136_lower_img.nii.gz dice=0.0834
[2026-04-15 19:59:34,551][Train_Process.py] P137_lower_img.nii.gz dice=0.4628
[2026-04-15 19:59:39,616][Train_Process.py] P138_lower_img.nii.gz dice=0.3837
[2026-04-15 19:59:47,460][Train_Process.py] P139_lower_img.nii.gz dice=0.4290
[2026-04-15 19:59:54,869][Train_Process.py] P140_lower_img.nii.gz dice=0.4574
[2026-04-15 20:00:16,712][Train_Process.py] P141_lower_img.nii.gz dice=0.4311
[2026-04-15 20:00:22,828][Train_Process.py] P142_lower_img.nii.gz dice=0.4439
[2026-04-15 20:00:30,077][Train_Process.py] P143_lower_img.nii.gz dice=0.4523
[2026-04-15 20:00:39,015][Train_Process.py] P144_lower_img.nii.gz dice=0.5526
[2026-04-15 20:00:53,372][Train_Process.py] P145_lower_img.nii.gz dice=0.4135
[2026-04-15 20:01:08,468][Train_Process.py] P146_lower_img.nii.gz dice=0.6095
[2026-04-15 20:01:12,478][Train_Process.py] P147_lower_img.nii.gz dice=0.1629
[2026-04-15 20:01:28,255][Train_Process.py] P148_lower_img.nii.gz dice=0.5678
[2026-04-15 20:01:35,636][Train_Process.py] P149_lower_img.nii.gz dice=0.3434
[2026-04-15 20:01:43,725][Train_Process.py] P150_lower_img.nii.gz dice=0.3955
[2026-04-15 20:01:51,256][Train_Process.py] P151_lower_img.nii.gz dice=0.4502
[2026-04-15 20:01:59,452][Train_Process.py] P152_lower_img.nii.gz dice=0.6168
[2026-04-15 20:02:03,187][Train_Process.py] P153_lower_img.nii.gz dice=0.4034
[2026-04-15 20:02:07,076][Train_Process.py] P154_lower_img.nii.gz dice=0.2222
[2026-04-15 20:02:20,600][Train_Process.py] P155_lower_img.nii.gz dice=0.5308
[2026-04-15 20:02:35,041][Train_Process.py] P156_lower_img.nii.gz dice=0.6470
[2026-04-15 20:02:57,495][Train_Process.py] P157_lower_img.nii.gz dice=0.4860
[2026-04-15 20:03:03,239][Train_Process.py] P158_lower_img.nii.gz dice=0.3948
[2026-04-15 20:03:07,245][Train_Process.py] P159_lower_img.nii.gz dice=0.1474
[2026-04-15 20:03:15,382][Train_Process.py] P160_lower_img.nii.gz dice=0.2703
[2026-04-15 20:03:22,730][Train_Process.py] P161_lower_img.nii.gz dice=0.3153
[2026-04-15 20:03:30,594][Train_Process.py] P162_lower_img.nii.gz dice=0.2735
[2026-04-15 20:03:38,923][Train_Process.py] P163_lower_img.nii.gz dice=0.5489
[2026-04-15 20:03:46,423][Train_Process.py] P164_lower_img.nii.gz dice=0.3886
[2026-04-15 20:03:52,858][Train_Process.py] P165_lower_img.nii.gz dice=0.3232
[2026-04-15 20:04:07,195][Train_Process.py] P166_lower_img.nii.gz dice=0.6098
[2026-04-15 20:04:15,155][Train_Process.py] P167_lower_img.nii.gz dice=0.3273
[2026-04-15 20:04:25,686][Train_Process.py] P168_lower_img.nii.gz dice=0.4721
[2026-04-15 20:04:32,618][Train_Process.py] P169_lower_img.nii.gz dice=0.3981
[2026-04-15 20:04:40,967][Train_Process.py] P170_lower_img.nii.gz dice=0.4008
[2026-04-15 20:04:44,535][Train_Process.py] P171_lower_img.nii.gz dice=0.3634
[2026-04-15 20:04:52,607][Train_Process.py] P172_lower_img.nii.gz dice=0.2223
[2026-04-15 20:04:52,681][Train_Process.py] Epoch:[50/150]  lr=0.000400  loss=0.65984  dice_e=0.3984 max_dice=0.3965
[2026-04-15 20:12:52,243][Train_Process.py] Epoch:[51/150]  lr=0.000400  loss=0.61288  dice_e=0.4413 max_dice=0.3965
[2026-04-15 20:20:16,015][Train_Process.py] Epoch:[52/150]  lr=0.000400  loss=0.59699  dice_e=0.4675 max_dice=0.3965
[2026-04-15 20:27:49,220][Train_Process.py] Epoch:[53/150]  lr=0.000400  loss=0.60190  dice_e=0.4482 max_dice=0.3965
[2026-04-15 20:35:18,804][Train_Process.py] Epoch:[54/150]  lr=0.000400  loss=0.61727  dice_e=0.4302 max_dice=0.3965
[2026-04-15 20:42:40,681][Train_Process.py] Epoch:[55/150]  lr=0.000400  loss=0.61311  dice_e=0.4342 max_dice=0.3965
[2026-04-15 20:50:26,277][Train_Process.py] Epoch:[56/150]  lr=0.000400  loss=0.62152  dice_e=0.4298 max_dice=0.3965
[2026-04-15 20:58:06,476][Train_Process.py] Epoch:[57/150]  lr=0.000400  loss=0.61224  dice_e=0.4432 max_dice=0.3965
[2026-04-15 21:05:20,896][Train_Process.py] Epoch:[58/150]  lr=0.000400  loss=0.61615  dice_e=0.4307 max_dice=0.3965
[2026-04-15 21:12:45,802][Train_Process.py] Epoch:[59/150]  lr=0.000400  loss=0.59741  dice_e=0.4475 max_dice=0.3965
