[2026-04-15 10:49:27,151][Train_Process.py] start training!
[2026-04-15 22:21:09,530][Train_Process.py] Epoch:[45/150]  lr=0.000100  loss=0.63279  dice_e=0.5871 max_dice=0.0000
[2026-04-15 22:35:17,699][Train_Process.py] Epoch:[46/150]  lr=0.000100  loss=0.60816  dice_e=0.5957 max_dice=0.0000
[2026-04-15 22:48:54,331][Train_Process.py] Epoch:[47/150]  lr=0.000100  loss=0.61889  dice_e=0.5696 max_dice=0.0000
[2026-04-15 23:02:49,183][Train_Process.py] Epoch:[48/150]  lr=0.000100  loss=0.56032  dice_e=0.6105 max_dice=0.0000
[2026-04-15 23:17:33,167][Train_Process.py] Epoch:[49/150]  lr=0.000100  loss=0.57933  dice_e=0.5810 max_dice=0.0000
[2026-04-16 00:13:24,603][Train_Process.py] P135_lower_img.nii.gz dice=0.0007
[2026-04-16 00:13:31,423][Train_Process.py] P136_lower_img.nii.gz dice=0.0005
[2026-04-16 00:13:48,393][Train_Process.py] P137_lower_img.nii.gz dice=0.0006
[2026-04-16 00:13:57,957][Train_Process.py] P138_lower_img.nii.gz dice=0.0018
[2026-04-16 00:14:12,791][Train_Process.py] P139_lower_img.nii.gz dice=0.0006
[2026-04-16 00:14:26,858][Train_Process.py] P140_lower_img.nii.gz dice=0.0006
[2026-04-16 00:14:55,790][Train_Process.py] P141_lower_img.nii.gz dice=0.0007
[2026-04-16 00:15:07,278][Train_Process.py] P142_lower_img.nii.gz dice=0.0008
[2026-04-16 00:15:21,895][Train_Process.py] P143_lower_img.nii.gz dice=0.0008
[2026-04-16 00:15:38,478][Train_Process.py] P144_lower_img.nii.gz dice=0.0010
[2026-04-16 00:16:06,553][Train_Process.py] P145_lower_img.nii.gz dice=0.0008
[2026-04-16 00:16:32,945][Train_Process.py] P146_lower_img.nii.gz dice=0.0007
[2026-04-16 00:16:39,866][Train_Process.py] P147_lower_img.nii.gz dice=0.0008
[2026-04-16 00:17:08,350][Train_Process.py] P148_lower_img.nii.gz dice=0.0009
[2026-04-16 00:17:21,516][Train_Process.py] P149_lower_img.nii.gz dice=0.0010
[2026-04-16 00:17:36,874][Train_Process.py] P150_lower_img.nii.gz dice=0.0016
[2026-04-16 00:17:50,668][Train_Process.py] P151_lower_img.nii.gz dice=0.0009
[2026-04-16 00:18:05,422][Train_Process.py] P152_lower_img.nii.gz dice=0.0010
[2026-04-16 00:18:12,118][Train_Process.py] P153_lower_img.nii.gz dice=0.0009
[2026-04-16 00:18:19,112][Train_Process.py] P154_lower_img.nii.gz dice=0.0006
[2026-04-16 00:18:43,664][Train_Process.py] P155_lower_img.nii.gz dice=0.0010
[2026-04-16 00:19:10,994][Train_Process.py] P156_lower_img.nii.gz dice=0.0014
[2026-04-16 00:19:42,744][Train_Process.py] P157_lower_img.nii.gz dice=0.0007
[2026-04-16 00:19:53,498][Train_Process.py] P158_lower_img.nii.gz dice=0.0008
[2026-04-16 00:20:00,972][Train_Process.py] P159_lower_img.nii.gz dice=0.0004
[2026-04-16 00:20:16,514][Train_Process.py] P160_lower_img.nii.gz dice=0.0010
[2026-04-16 00:20:29,776][Train_Process.py] P161_lower_img.nii.gz dice=0.0011
[2026-04-16 00:20:43,394][Train_Process.py] P162_lower_img.nii.gz dice=0.0009
[2026-04-16 00:20:58,133][Train_Process.py] P163_lower_img.nii.gz dice=0.0008
[2026-04-16 00:21:11,780][Train_Process.py] P164_lower_img.nii.gz dice=0.0008
[2026-04-16 00:21:23,961][Train_Process.py] P165_lower_img.nii.gz dice=0.0009
[2026-04-16 00:21:51,823][Train_Process.py] P166_lower_img.nii.gz dice=0.0014
[2026-04-16 00:22:08,504][Train_Process.py] P167_lower_img.nii.gz dice=0.0009
