[2026-04-14 09:10:26,595][Train_Process.py] start training!
[2026-04-14 09:46:17,377][Train_Process.py] P135_lower_img.nii.gz dice=0.1895
[2026-04-14 09:46:20,991][Train_Process.py] P136_lower_img.nii.gz dice=0.1797
[2026-04-14 09:46:29,769][Train_Process.py] P137_lower_img.nii.gz dice=0.1951
[2026-04-14 09:46:34,804][Train_Process.py] P138_lower_img.nii.gz dice=0.3583
[2026-04-14 09:46:42,683][Train_Process.py] P139_lower_img.nii.gz dice=0.1759
[2026-04-14 09:46:49,972][Train_Process.py] P140_lower_img.nii.gz dice=0.2038
[2026-04-14 09:47:04,911][Train_Process.py] P141_lower_img.nii.gz dice=0.2245
[2026-04-14 09:47:10,871][Train_Process.py] P142_lower_img.nii.gz dice=0.2437
[2026-04-14 09:47:17,850][Train_Process.py] P143_lower_img.nii.gz dice=0.2347
[2026-04-14 09:47:26,581][Train_Process.py] P144_lower_img.nii.gz dice=0.2868
[2026-04-14 09:47:40,984][Train_Process.py] P145_lower_img.nii.gz dice=0.2297
[2026-04-14 09:47:55,155][Train_Process.py] P146_lower_img.nii.gz dice=0.2295
[2026-04-14 09:47:59,032][Train_Process.py] P147_lower_img.nii.gz dice=0.2071
[2026-04-14 09:48:15,025][Train_Process.py] P148_lower_img.nii.gz dice=0.2530
[2026-04-14 09:48:22,057][Train_Process.py] P149_lower_img.nii.gz dice=0.2924
[2026-04-14 09:48:30,074][Train_Process.py] P150_lower_img.nii.gz dice=0.3609
[2026-04-14 09:48:37,620][Train_Process.py] P151_lower_img.nii.gz dice=0.2459
[2026-04-14 09:48:45,658][Train_Process.py] P152_lower_img.nii.gz dice=0.2601
[2026-04-14 09:48:49,295][Train_Process.py] P153_lower_img.nii.gz dice=0.2445
[2026-04-14 09:48:53,064][Train_Process.py] P154_lower_img.nii.gz dice=0.1839
[2026-04-14 09:49:06,385][Train_Process.py] P155_lower_img.nii.gz dice=0.2678
[2026-04-14 09:49:20,311][Train_Process.py] P156_lower_img.nii.gz dice=0.3332
[2026-04-14 09:49:47,303][Train_Process.py] P157_lower_img.nii.gz dice=0.2205
[2026-04-14 09:49:53,302][Train_Process.py] P158_lower_img.nii.gz dice=0.2237
