[2026-04-13 07:27:26,418][Train_Process.py] start training!
[2026-04-13 07:37:30,021][Train_Process.py] Epoch:[1/300]  lr=0.000100  loss=1.29390  dice_e=0.0127 max_dice=0.0000
[2026-04-13 07:47:03,973][Train_Process.py] Epoch:[2/300]  lr=0.000100  loss=1.15736  dice_e=0.0944 max_dice=0.0000
[2026-04-13 07:56:26,798][Train_Process.py] Epoch:[3/300]  lr=0.000100  loss=1.09892  dice_e=0.3416 max_dice=0.0000
[2026-04-13 08:05:22,680][Train_Process.py] Epoch:[4/300]  lr=0.000100  loss=1.06110  dice_e=0.3194 max_dice=0.0000
[2026-04-13 08:14:57,900][Train_Process.py] Epoch:[5/300]  lr=0.000100  loss=1.03629  dice_e=0.3237 max_dice=0.0000
[2026-04-13 08:24:15,327][Train_Process.py] Epoch:[6/300]  lr=0.000100  loss=1.01409  dice_e=0.3510 max_dice=0.0000
[2026-04-13 08:33:31,601][Train_Process.py] Epoch:[7/300]  lr=0.000100  loss=0.98601  dice_e=0.3732 max_dice=0.0000
[2026-04-13 08:42:08,247][Train_Process.py] Epoch:[8/300]  lr=0.000100  loss=0.96993  dice_e=0.3723 max_dice=0.0000
[2026-04-13 08:51:11,936][Train_Process.py] Epoch:[9/300]  lr=0.000100  loss=0.95144  dice_e=0.4114 max_dice=0.0000
[2026-04-13 08:59:34,230][Train_Process.py] Epoch:[10/300]  lr=0.000100  loss=0.93409  dice_e=0.4150 max_dice=0.0000
[2026-04-13 09:09:06,595][Train_Process.py] Epoch:[11/300]  lr=0.000100  loss=0.91572  dice_e=0.4075 max_dice=0.0000
[2026-04-13 09:17:35,958][Train_Process.py] Epoch:[12/300]  lr=0.000100  loss=0.90278  dice_e=0.4205 max_dice=0.0000
[2026-04-13 09:25:50,156][Train_Process.py] Epoch:[13/300]  lr=0.000100  loss=0.86815  dice_e=0.4525 max_dice=0.0000
[2026-04-13 09:34:16,068][Train_Process.py] Epoch:[14/300]  lr=0.000100  loss=0.85775  dice_e=0.4405 max_dice=0.0000
[2026-04-13 09:42:40,837][Train_Process.py] Epoch:[15/300]  lr=0.000100  loss=0.81473  dice_e=0.4938 max_dice=0.0000
[2026-04-13 09:50:53,578][Train_Process.py] Epoch:[16/300]  lr=0.000100  loss=0.79805  dice_e=0.5065 max_dice=0.0000
[2026-04-13 10:00:18,602][Train_Process.py] Epoch:[17/300]  lr=0.000100  loss=0.77739  dice_e=0.4780 max_dice=0.0000
[2026-04-13 10:08:42,321][Train_Process.py] Epoch:[18/300]  lr=0.000100  loss=0.76569  dice_e=0.4883 max_dice=0.0000
[2026-04-13 10:18:08,824][Train_Process.py] Epoch:[19/300]  lr=0.000100  loss=0.70660  dice_e=0.5106 max_dice=0.0000
