[2026-04-15 00:20:37,688][Train_Process.py] start training!
[2026-04-15 00:28:15,637][Train_Process.py] Epoch:[1/150]  lr=0.000100  loss=1.70659  dice_e=0.0048 max_dice=0.0000
[2026-04-15 00:36:11,246][Train_Process.py] Epoch:[2/150]  lr=0.000100  loss=1.63138  dice_e=0.0089 max_dice=0.0000
[2026-04-15 00:43:44,684][Train_Process.py] Epoch:[3/150]  lr=0.000100  loss=1.57403  dice_e=0.0075 max_dice=0.0000
[2026-04-15 00:51:21,171][Train_Process.py] Epoch:[4/150]  lr=0.000100  loss=1.52478  dice_e=0.0067 max_dice=0.0000
[2026-04-15 00:59:51,716][Train_Process.py] Epoch:[5/150]  lr=0.000100  loss=1.48022  dice_e=0.0059 max_dice=0.0000
[2026-04-15 01:07:56,853][Train_Process.py] Epoch:[6/150]  lr=0.000100  loss=1.43817  dice_e=0.0074 max_dice=0.0000
[2026-04-15 01:15:43,834][Train_Process.py] Epoch:[7/150]  lr=0.000100  loss=1.39768  dice_e=0.0096 max_dice=0.0000
[2026-04-15 01:23:10,982][Train_Process.py] Epoch:[8/150]  lr=0.000100  loss=1.35510  dice_e=0.0170 max_dice=0.0000
[2026-04-15 01:30:44,562][Train_Process.py] Epoch:[9/150]  lr=0.000100  loss=1.31343  dice_e=0.0170 max_dice=0.0000
[2026-04-15 01:38:38,195][Train_Process.py] Epoch:[10/150]  lr=0.000100  loss=1.27178  dice_e=0.0222 max_dice=0.0000
[2026-04-15 01:46:22,131][Train_Process.py] Epoch:[11/150]  lr=0.000100  loss=1.23819  dice_e=0.0311 max_dice=0.0000
[2026-04-15 01:53:47,818][Train_Process.py] Epoch:[12/150]  lr=0.000100  loss=1.21138  dice_e=0.0543 max_dice=0.0000
[2026-04-15 02:01:10,048][Train_Process.py] Epoch:[13/150]  lr=0.000100  loss=1.18380  dice_e=0.0767 max_dice=0.0000
[2026-04-15 02:08:46,160][Train_Process.py] Epoch:[14/150]  lr=0.000100  loss=1.16158  dice_e=0.0787 max_dice=0.0000
[2026-04-15 02:16:09,383][Train_Process.py] Epoch:[15/150]  lr=0.000100  loss=1.14259  dice_e=0.0874 max_dice=0.0000
[2026-04-15 02:23:43,091][Train_Process.py] Epoch:[16/150]  lr=0.000100  loss=1.12662  dice_e=0.1019 max_dice=0.0000
[2026-04-15 02:31:19,927][Train_Process.py] Epoch:[17/150]  lr=0.000100  loss=1.11012  dice_e=0.0986 max_dice=0.0000
[2026-04-15 02:38:52,392][Train_Process.py] Epoch:[18/150]  lr=0.000100  loss=1.09409  dice_e=0.1070 max_dice=0.0000
[2026-04-15 02:46:32,850][Train_Process.py] Epoch:[19/150]  lr=0.000100  loss=1.08443  dice_e=0.1228 max_dice=0.0000
[2026-04-15 02:53:53,790][Train_Process.py] Epoch:[20/150]  lr=0.000100  loss=1.07243  dice_e=0.1175 max_dice=0.0000
[2026-04-15 03:01:57,794][Train_Process.py] Epoch:[21/150]  lr=0.000100  loss=1.06275  dice_e=0.1320 max_dice=0.0000
[2026-04-15 03:09:13,440][Train_Process.py] Epoch:[22/150]  lr=0.000100  loss=1.04917  dice_e=0.1486 max_dice=0.0000
[2026-04-15 03:16:50,629][Train_Process.py] Epoch:[23/150]  lr=0.000100  loss=1.04002  dice_e=0.1444 max_dice=0.0000
[2026-04-15 03:24:18,101][Train_Process.py] Epoch:[24/150]  lr=0.000100  loss=1.03126  dice_e=0.1401 max_dice=0.0000
[2026-04-15 03:31:50,406][Train_Process.py] Epoch:[25/150]  lr=0.000100  loss=1.02448  dice_e=0.1406 max_dice=0.0000
[2026-04-15 03:39:24,325][Train_Process.py] Epoch:[26/150]  lr=0.000100  loss=1.01454  dice_e=0.1531 max_dice=0.0000
[2026-04-15 03:47:08,735][Train_Process.py] Epoch:[27/150]  lr=0.000100  loss=1.01241  dice_e=0.1382 max_dice=0.0000
[2026-04-15 03:55:16,640][Train_Process.py] Epoch:[28/150]  lr=0.000100  loss=0.99911  dice_e=0.1617 max_dice=0.0000
[2026-04-15 04:03:37,144][Train_Process.py] Epoch:[29/150]  lr=0.000100  loss=0.99457  dice_e=0.1588 max_dice=0.0000
