[2026-04-13 18:50:16,717][Train_Process.py] start training!
[2026-04-13 18:59:02,698][Train_Process.py] Epoch:[20/150]  lr=0.000100  loss=0.54661  dice_e=0.6274 max_dice=0.0000
[2026-04-13 19:07:32,942][Train_Process.py] Epoch:[21/150]  lr=0.000100  loss=0.54208  dice_e=0.5964 max_dice=0.0000
[2026-04-13 19:16:15,679][Train_Process.py] Epoch:[22/150]  lr=0.000100  loss=0.51158  dice_e=0.6148 max_dice=0.0000
[2026-04-13 19:25:44,191][Train_Process.py] Epoch:[23/150]  lr=0.000100  loss=0.53503  dice_e=0.5792 max_dice=0.0000
[2026-04-13 19:35:19,729][Train_Process.py] Epoch:[24/150]  lr=0.000100  loss=0.51418  dice_e=0.5879 max_dice=0.0000
[2026-04-13 19:44:24,205][Train_Process.py] Epoch:[25/150]  lr=0.000100  loss=0.48444  dice_e=0.6122 max_dice=0.0000
[2026-04-13 19:53:07,253][Train_Process.py] Epoch:[26/150]  lr=0.000100  loss=0.45459  dice_e=0.6282 max_dice=0.0000
[2026-04-13 20:02:20,607][Train_Process.py] Epoch:[27/150]  lr=0.000100  loss=0.47796  dice_e=0.6005 max_dice=0.0000
[2026-04-13 20:11:09,875][Train_Process.py] Epoch:[28/150]  lr=0.000100  loss=0.46164  dice_e=0.6310 max_dice=0.0000
[2026-04-13 20:20:17,569][Train_Process.py] Epoch:[29/150]  lr=0.000100  loss=0.46018  dice_e=0.6084 max_dice=0.0000
[2026-04-13 20:28:39,456][Train_Process.py] Epoch:[30/150]  lr=0.000100  loss=0.43958  dice_e=0.6318 max_dice=0.0000
[2026-04-13 20:39:20,093][Train_Process.py] Epoch:[31/150]  lr=0.000100  loss=0.43370  dice_e=0.6276 max_dice=0.0000
[2026-04-13 20:50:09,726][Train_Process.py] Epoch:[32/150]  lr=0.000100  loss=0.41968  dice_e=0.6380 max_dice=0.0000
[2026-04-13 21:02:07,612][Train_Process.py] Epoch:[33/150]  lr=0.000100  loss=0.41744  dice_e=0.6290 max_dice=0.0000
[2026-04-13 21:11:33,465][Train_Process.py] Epoch:[34/150]  lr=0.000100  loss=0.44202  dice_e=0.6052 max_dice=0.0000
[2026-04-13 21:20:24,049][Train_Process.py] Epoch:[35/150]  lr=0.000100  loss=0.40870  dice_e=0.6337 max_dice=0.0000
[2026-04-13 21:30:05,487][Train_Process.py] Epoch:[36/150]  lr=0.000100  loss=0.40386  dice_e=0.6379 max_dice=0.0000
[2026-04-13 21:38:39,210][Train_Process.py] Epoch:[37/150]  lr=0.000100  loss=0.41570  dice_e=0.6431 max_dice=0.0000
[2026-04-13 21:47:49,846][Train_Process.py] Epoch:[38/150]  lr=0.000100  loss=0.39645  dice_e=0.6472 max_dice=0.0000
[2026-04-13 21:56:07,658][Train_Process.py] Epoch:[39/150]  lr=0.000100  loss=0.40533  dice_e=0.6448 max_dice=0.0000
[2026-04-13 22:04:55,530][Train_Process.py] Epoch:[40/150]  lr=0.000100  loss=0.40032  dice_e=0.6478 max_dice=0.0000
[2026-04-13 22:14:35,096][Train_Process.py] Epoch:[41/150]  lr=0.000100  loss=0.39665  dice_e=0.6477 max_dice=0.0000
[2026-04-13 22:23:18,916][Train_Process.py] Epoch:[42/150]  lr=0.000100  loss=0.36590  dice_e=0.6777 max_dice=0.0000
[2026-04-13 22:31:40,340][Train_Process.py] Epoch:[43/150]  lr=0.000100  loss=0.40839  dice_e=0.6325 max_dice=0.0000
[2026-04-13 22:39:53,502][Train_Process.py] Epoch:[44/150]  lr=0.000100  loss=0.41769  dice_e=0.6162 max_dice=0.0000
[2026-04-13 22:47:43,153][Train_Process.py] Epoch:[45/150]  lr=0.000100  loss=0.35609  dice_e=0.6769 max_dice=0.0000
[2026-04-13 22:55:42,399][Train_Process.py] Epoch:[46/150]  lr=0.000100  loss=0.37858  dice_e=0.6579 max_dice=0.0000
[2026-04-13 23:03:40,204][Train_Process.py] Epoch:[47/150]  lr=0.000100  loss=0.34728  dice_e=0.6830 max_dice=0.0000
[2026-04-13 23:11:32,193][Train_Process.py] Epoch:[48/150]  lr=0.000100  loss=0.35466  dice_e=0.6998 max_dice=0.0000
[2026-04-13 23:19:15,819][Train_Process.py] Epoch:[49/150]  lr=0.000100  loss=0.37094  dice_e=0.6695 max_dice=0.0000
[2026-04-14 02:16:08,722][Train_Process.py] P135_lower_img.nii.gz dice=0.6481
[2026-04-14 02:16:12,314][Train_Process.py] P136_lower_img.nii.gz dice=0.6392
[2026-04-14 02:16:21,358][Train_Process.py] P137_lower_img.nii.gz dice=0.8263
[2026-04-14 02:16:26,472][Train_Process.py] P138_lower_img.nii.gz dice=0.7128
[2026-04-14 02:16:34,329][Train_Process.py] P139_lower_img.nii.gz dice=0.6638
[2026-04-14 02:16:41,948][Train_Process.py] P140_lower_img.nii.gz dice=0.6782
[2026-04-14 02:16:58,007][Train_Process.py] P141_lower_img.nii.gz dice=0.7810
[2026-04-14 02:17:03,857][Train_Process.py] P142_lower_img.nii.gz dice=0.7391
[2026-04-14 02:17:11,084][Train_Process.py] P143_lower_img.nii.gz dice=0.6801
[2026-04-14 02:17:19,810][Train_Process.py] P144_lower_img.nii.gz dice=0.8039
[2026-04-14 02:17:33,828][Train_Process.py] P145_lower_img.nii.gz dice=0.8151
[2026-04-14 02:17:48,253][Train_Process.py] P146_lower_img.nii.gz dice=0.7739
[2026-04-14 02:17:52,120][Train_Process.py] P147_lower_img.nii.gz dice=0.6359
[2026-04-14 02:18:06,910][Train_Process.py] P148_lower_img.nii.gz dice=0.8268
[2026-04-14 02:18:13,686][Train_Process.py] P149_lower_img.nii.gz dice=0.7050
[2026-04-14 02:18:21,401][Train_Process.py] P150_lower_img.nii.gz dice=0.7614
[2026-04-14 02:18:28,710][Train_Process.py] P151_lower_img.nii.gz dice=0.7247
[2026-04-14 02:18:36,823][Train_Process.py] P152_lower_img.nii.gz dice=0.7062
[2026-04-14 02:18:40,416][Train_Process.py] P153_lower_img.nii.gz dice=0.7479
[2026-04-14 02:18:44,089][Train_Process.py] P154_lower_img.nii.gz dice=0.6533
[2026-04-14 02:18:57,350][Train_Process.py] P155_lower_img.nii.gz dice=0.8119
[2026-04-14 02:19:11,367][Train_Process.py] P156_lower_img.nii.gz dice=0.8267
[2026-04-14 02:19:29,062][Train_Process.py] P157_lower_img.nii.gz dice=0.8773
[2026-04-14 02:19:34,741][Train_Process.py] P158_lower_img.nii.gz dice=0.7175
[2026-04-14 02:19:38,704][Train_Process.py] P159_lower_img.nii.gz dice=0.6221
[2026-04-14 02:19:46,675][Train_Process.py] P160_lower_img.nii.gz dice=0.7022
[2026-04-14 02:19:53,771][Train_Process.py] P161_lower_img.nii.gz dice=0.7568
[2026-04-14 02:20:00,890][Train_Process.py] P162_lower_img.nii.gz dice=0.7487
[2026-04-14 02:20:08,697][Train_Process.py] P163_lower_img.nii.gz dice=0.7107
[2026-04-14 02:20:15,972][Train_Process.py] P164_lower_img.nii.gz dice=0.7444
[2026-04-14 02:20:22,489][Train_Process.py] P165_lower_img.nii.gz dice=0.7849
[2026-04-14 02:20:36,195][Train_Process.py] P166_lower_img.nii.gz dice=0.8321
[2026-04-14 02:20:43,796][Train_Process.py] P167_lower_img.nii.gz dice=0.7693
[2026-04-14 02:20:54,004][Train_Process.py] P168_lower_img.nii.gz dice=0.7625
[2026-04-14 02:21:00,720][Train_Process.py] P169_lower_img.nii.gz dice=0.7706
[2026-04-14 02:21:08,818][Train_Process.py] P170_lower_img.nii.gz dice=0.6377
[2026-04-14 02:21:12,328][Train_Process.py] P171_lower_img.nii.gz dice=0.7825
[2026-04-14 02:21:20,207][Train_Process.py] P172_lower_img.nii.gz dice=0.7285
[2026-04-14 02:21:20,348][Train_Process.py] Epoch:[50/150]  lr=0.000100  loss=0.34697  dice_e=0.6841 max_dice=0.7397
[2026-04-14 05:16:34,320][Train_Process.py] P135_lower_img.nii.gz dice=0.6055
[2026-04-14 05:16:38,139][Train_Process.py] P136_lower_img.nii.gz dice=0.6007
[2026-04-14 05:16:47,521][Train_Process.py] P137_lower_img.nii.gz dice=0.7911
[2026-04-14 05:16:53,301][Train_Process.py] P138_lower_img.nii.gz dice=0.7300
[2026-04-14 05:17:01,814][Train_Process.py] P139_lower_img.nii.gz dice=0.5816
[2026-04-14 05:17:09,792][Train_Process.py] P140_lower_img.nii.gz dice=0.6178
[2026-04-14 05:17:26,166][Train_Process.py] P141_lower_img.nii.gz dice=0.6712
[2026-04-14 05:17:32,886][Train_Process.py] P142_lower_img.nii.gz dice=0.6928
[2026-04-14 05:17:40,875][Train_Process.py] P143_lower_img.nii.gz dice=0.5882
[2026-04-14 05:17:50,562][Train_Process.py] P144_lower_img.nii.gz dice=0.7571
[2026-04-14 05:18:06,789][Train_Process.py] P145_lower_img.nii.gz dice=0.7183
