[2026-04-13 18:54:56,727][Train_Process.py] start training!
[2026-04-13 19:00:04,086][Train_Process.py] Epoch:[20/150]  lr=0.000100  loss=0.99117  dice_e=0.2681 max_dice=0.0000
[2026-04-13 19:05:06,102][Train_Process.py] Epoch:[21/150]  lr=0.000100  loss=0.97938  dice_e=0.2726 max_dice=0.0000
[2026-04-13 19:10:07,079][Train_Process.py] Epoch:[22/150]  lr=0.000100  loss=0.95657  dice_e=0.3364 max_dice=0.0000
[2026-04-13 19:15:12,240][Train_Process.py] Epoch:[23/150]  lr=0.000100  loss=0.96086  dice_e=0.2967 max_dice=0.0000
[2026-04-13 19:20:42,336][Train_Process.py] Epoch:[24/150]  lr=0.000100  loss=0.95501  dice_e=0.2872 max_dice=0.0000
[2026-04-13 19:25:51,405][Train_Process.py] Epoch:[25/150]  lr=0.000100  loss=0.93559  dice_e=0.3473 max_dice=0.0000
[2026-04-13 19:30:59,172][Train_Process.py] Epoch:[26/150]  lr=0.000100  loss=0.94163  dice_e=0.3141 max_dice=0.0000
[2026-04-13 19:36:08,919][Train_Process.py] Epoch:[27/150]  lr=0.000100  loss=0.92009  dice_e=0.3724 max_dice=0.0000
[2026-04-13 19:41:27,840][Train_Process.py] Epoch:[28/150]  lr=0.000100  loss=0.92008  dice_e=0.3651 max_dice=0.0000
[2026-04-13 19:46:48,564][Train_Process.py] Epoch:[29/150]  lr=0.000100  loss=0.90117  dice_e=0.3801 max_dice=0.0000
[2026-04-13 19:52:15,299][Train_Process.py] Epoch:[30/150]  lr=0.000100  loss=0.89991  dice_e=0.3631 max_dice=0.0000
[2026-04-13 19:57:41,845][Train_Process.py] Epoch:[31/150]  lr=0.000100  loss=0.88542  dice_e=0.4029 max_dice=0.0000
[2026-04-13 20:03:15,770][Train_Process.py] Epoch:[32/150]  lr=0.000100  loss=0.88182  dice_e=0.3694 max_dice=0.0000
[2026-04-13 20:08:35,058][Train_Process.py] Epoch:[33/150]  lr=0.000100  loss=0.88750  dice_e=0.3749 max_dice=0.0000
[2026-04-13 20:14:04,578][Train_Process.py] Epoch:[34/150]  lr=0.000100  loss=0.86818  dice_e=0.3948 max_dice=0.0000
[2026-04-13 20:19:20,076][Train_Process.py] Epoch:[35/150]  lr=0.000100  loss=0.85787  dice_e=0.3982 max_dice=0.0000
[2026-04-13 20:24:29,015][Train_Process.py] Epoch:[36/150]  lr=0.000100  loss=0.86825  dice_e=0.3914 max_dice=0.0000
[2026-04-13 20:29:42,317][Train_Process.py] Epoch:[37/150]  lr=0.000100  loss=0.85792  dice_e=0.3726 max_dice=0.0000
[2026-04-13 20:34:49,076][Train_Process.py] Epoch:[38/150]  lr=0.000100  loss=0.80361  dice_e=0.4606 max_dice=0.0000
